plotID,Plot,Province,Location,Latitude,Longitude,Elevation_m,Area,Area_10mm,DrySeasonDeficit_mm,AnnualPPT_mm,Shape,Description,Age
143,coba1,Panama,"Cerro Azul, Province of Panama",9.20313,-79.3622,515,1,0.16,-426.0491,3104.197,100x100,CTFS grant by Rolando PÃ©rez,
144,coba2,Panama,"Cerro Azul, Province of Panama",9.20958,-79.3713,643,1,0.16,-392.1715,3084.207,100x100,CTFS grant by Rolando PÃ©rez,
145,elcharco,Panama,Province of Panama,9.08405,-79.6634,116,1,0.16,-579.1479,2050.506,100x100,CTFS grant by Rolando PÃ©rez,
146,ina,Herrera,"Divisa, Province of Herrera",8.13735,-80.6854,17,1,0.16,NULL,NULL,100x100,CTFS grant by Rolando PÃ©rez,
147,LP1,Panama,Las Pavas,9.1247,-79.9048,80,1,0.16,-513.1196,2534.875,100x100,NULL,
148,LP2,Panama,Las Pavas,9.12526,-79.8853,40,1,0.16,-516.1703,2519.503,100x100,NULL,
149,centromadroÃ±o,Panama,Province of Panama,9.31779,-79.1418,270,0,0,NULL,NULL,transect,inventory - where Emilio Mariscal works,
150,gigante1,Panama,Gigante Peninsula,9.09919,-79.854,55,1,0.16,-529.5721,2332.148,100x100,NULL,
151,gavilan,Bocas del Toro,RÃ­o Changuinola - Bocas del Toro,9.18769,-82.5404,550,1,0,NULL,NULL,100x100,NULL,
152,Casa Roubik,Colon,Colon,9.33389,-79.78,190,0,0,-487.5302,3053.949,Transect within 500x500 m area,"190-280 m, entirely secondary forest",
153,Outer Pipeline,Colon,Colon,9.2172,-79.7958,120,0,0,-505.8164,2590.46,Transect within 150x150 m area,"Giant ANACEX, Big CEIBPE, but very open forest on ridge tops; elev range 100-145",
154,metrop,Panama,Parque Metropolitano,8.99459,-79.543,71,1,0.16,-574.926,1874.302,100x100,,
155,bci 10 ha plot,Panama,Barro Colorado Island,NULL,NULL,NULL,10,0,NULL,NULL,1000x100,Only trees with dbh >= 200 mm were measured,
156,soberania,Panama,Parque Nacional Soberania,9.06195,-79.6394,107,1,0.16,-579.9019,2007.351,100x100,NULL,
157,gigante2,Panama,Gigante Peninsula,9.10353,-79.8536,60,1,0.16,-528.8751,2351.899,100x100,NULL,
158,Pavas1,Panama,,9.09014,-79.8923,74.95,0,0,-520.4445,2331.427,transect,Parche de bosque cerca del pueblo de Las Pavas.,
159,Pavas2,Panama,,9.0756,-79.8938,59.77,0,0,-520.6028,2277.119,transect,Cercas a orillas de un camino,
160,Mendoza1,Panama,,9.01959,-79.8788,128.82,0,0,-518.6767,2224.352,transect,Orillas de camino. Franja de bosque secundario. Existen algunos Ficus benjamina cultivados.,
161,CanoQuebrado,Panama,,8.99043,-79.8501,100.48,0,0,-523.4058,2217.949,transect,Parche de bosque de aproximadamente 4 has. El parche se encuentra cerca del puente del rio cano quebrado.,
162,Cacao_Lidice,Panama,,8.75003,-80.002,235.03,0,0,-386.4319,2811.228,transect,"Orillas de camino. Rodeados por Potreros, fincas y areas dedicadas a la ganaderia. Tambien hay plantaciones de Pinus caribaea y ",
163,Cacao_Cirigrande,Panama,,8.75997,-80.0238,312.73,0,0,-388.3434,2789.623,transect,"Orillas de camino. Existen parches de bosques a los lados del camino, tambien potreros y fincas ganaderas.",
164,Ciri_ArenaBlanca,Panama,,8.86259,-80.056,148.2,0,0,-477.963,2301.385,transect,"Bosque de galeria a orillas del rio Ciri Grande. En el lugar existen poblaciones de Tachigali costaricensis (scleco), Parkia nit",
165,Ciri_Pueblo,Panama,,8.82039,-80.0663,204.95,0,0,-453.9588,2425.474,transect,Rastrojos y parches de bosque secundario. Abundan especies como Ochoterenaea colombiana y Croton smithianus.,
166,Lagarterita,Panama,,9.07357,-79.9135,64.04,0,0,-516.7417,2273.964,transect,,
167,LasPavas_entrada,Panama,,9.07066,-79.9131,68.1,0,0,-516.7078,2266.356,transect,Bosque de galeria a orillas de una quebrada.,
168,CerroCama_Mendoza,Panama,,9.01987,-79.8956,72.74,0,0,-515.5184,2227.784,transect,"Bosque de galeria, al sur del puente del rio.",
169,Pavas3,Panama,,9.06517,-79.921,52.68,0,0,-515.3043,2253.825,transect,Bosque de galeria cerca del proyecto de troncos sumergidos del lago Gatun.,
170,Pavas4,Panama,,9.05604,-79.9175,64.87,0,0,-515.2375,2240.718,transect,Cerca a orillas de camino.,
171,Arenosa1,Panama,,9.03137,-79.9337,67.18,0,0,-511.1501,2228.169,transect,Rastrojo o bosque achaparrado en regeneracion.,
172,Arenosa2,Panama,,9.00714,-79.9306,98.68,0,0,-509.4238,2229.391,transect,Cercas a orillas de un camino.,
173,Arenosa3,Panama,,8.99686,-79.9264,69.55,0,0,-509.2685,2229.855,transect,Bosque de galeria a orillas de un rio.,
174,Tinajones_arriba1,Panama,,9.04607,-79.8807,84.24,0,0,-521.8483,2227.081,transect,Cerca a orillas de un camino.,
175,Tinajones_arriba2,Panama,,9.0283,-79.8786,116.73,0,0,-519.9954,2223.341,transect,Bosque de galeria a orillas de una quebrada. ,
176,Arenas_Blanca2,Panama,,8.85581,-80.0569,148.89,0,0,-476.2789,2303.206,transect,Bosque de galeria a orillas del rio Ciri Grande.,
177,Laguna1,Panama,,9.01724,-79.8692,145.21,0,0,-520.7903,2221.236,transect,Cerca de potrero.,
178,Laguna2,Panama,,9.02785,-79.8647,151.52,0,0,-523.6569,2217.181,transect,Rastrojo o parche de bosque secundario.,
179,Jobo1,Panama,,9.00816,-79.8402,123.53,0,0,-530.3234,2203.476,transect,Cerca a orillas de un camino.,
180,Jobo2,Panama,,9.00733,-79.827,54.1,0,0,-537.4795,2187.332,transect,Bosque de galeria a orillas del rio Cano Quebrado.,
181,Congo1,Panama,,8.9236,-79.7857,97.63,0,0,-553.1284,2070.73,transect,Parche de bosque.,
182,Congo2,Panama,,8.9627,-79.8002,142.96,0,0,-546.4953,2140.211,transect,Cercas de un potrero,
183,Congo3,Panama,,8.96951,-79.8127,155.11,0,0,-538.758,2173.337,transect,Parche de bosque secundario (rastrojo).,
184,Coronado,Panama,Provincia de Panama,NULL,NULL,NULL,1,0.16,NULL,NULL,100x100,NULL,
185,Cerro_Pelado_CIHH_UTP,Panama,Cerro Pelado,NULL,NULL,NULL,1,0.16,NULL,NULL,100x100,Trees>=10cm only,
186,Finca_Roubik,Colon,Finca Roubik - Colon,9.33476,-79.7809,0,1,0.16,NULL,NULL,100x100,NULL,
187,metrop2,Panama,Parque Metropolitano,8.98325,-79.5454,38,1,0.16,NULL,NULL,100x100,Second plot in Metropolitan Park - only trees >=10 cm dbh,
188,PanamaPacifico,Panama,Provincia de Panama,NULL,NULL,NULL,1,0.16,NULL,NULL,100x100,Panama Pacifico,
