"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","dbh","hom","ExactDate","DFstatus","codes","date","status","agb","plot","census","plotID"
453955,993648,"005565","","oenoma","1637",320.2,752.1,105,1.3,"2008-03-19","alive","M",17610,"A",0.0541987130804783,"gigante2",5,157
453956,993649,"005566","","oenoma","1637",321.4,758.5,84,1.3,"2008-03-19","alive",NA,17610,"A",0.0299903643481071,"gigante2",5,157
453958,993650,"005568","","oenoma","1637",328.5,746.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453962,993651,"005572","1","oenoma","1737",354.1,741.3,NA,NA,NA,NA,NA,17618,"P",0,"gigante2",5,157
453963,993652,"005573","","coccpa","1737",354.4,745.4,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
453969,993653,"005579","","oenoma","1736",346.4,725.3,82,1.3,"2008-03-25","alive",NA,17616,"A",0.0281374104367637,"gigante2",5,157
454041,993654,"011201","1","oenoma","1736",340.3,734.7,NA,NA,NA,NA,NA,17616,"P",0,"gigante2",5,157
454091,993655,"011251","1","oenoma","1736",349.6,735.6,NA,NA,NA,NA,NA,17616,"P",0,"gigante2",5,157
454135,993656,"014010","","oenoma","1535",312.1,709.8,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454140,993657,"014015","","oenoma","1535",319.2,710.3,88,1.3,"2008-03-04","alive",NA,17595,"A",0.0339226757251619,"gigante2",5,157
454149,993658,"014024","","oenoma","1536",307.2,720.3,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454157,993659,"014032","","oenoma","1536",317.8,737.4,NA,NA,NA,NA,NA,17595,"V",0,"gigante2",5,157
454167,993660,"014042","","oenoma","1537",309.6,744.6,NA,NA,NA,NA,NA,17595.9310344828,"V",0,"gigante2",5,157
454180,993661,"014055","","oenoma","1538",319.4,776,63,1.3,"2008-03-05","alive",NA,17596,"A",0.0140448913863303,"gigante2",5,157
454208,993662,"014083","2","oenoma","1836",378.6,727.8,NA,NA,NA,NA,NA,17609,"P",0,"gigante2",5,157
454214,993663,"014089","","oenoma","1837",363.1,743.7,NA,NA,NA,NA,NA,17609.0333333333,"V",0,"gigante2",5,157
454216,993664,"014091","","oenoma","1837",365.9,750.5,99,1.3,"2008-03-18","alive",NA,17609,"A",0.0463605805242107,"gigante2",5,157
454228,993665,"014104","2","oenoma","1635",330.6,709.2,NA,NA,NA,NA,NA,17609,"P",0,"gigante2",5,157
454390,993666,"014269","","oenoma","1638",331,769.3,NA,NA,NA,NA,NA,17611,"V",0,"gigante2",5,157
454406,993667,"014285","","oenoma","1735",353.9,715.9,NA,NA,NA,NA,NA,17615.0606060606,"V",0,"gigante2",5,157
454557,993668,"014606","","oenoma","1838",376.8,760.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454593,993669,"014666","","oenoma","1936",388.4,723.5,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454594,993670,"014667","","oenoma","1936",392.4,724.5,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454597,993671,"014670","","oenoma","1936",394.4,734.8,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
454607,993672,"014680","2","oenoma","1937",389.3,754.7,NA,NA,NA,NA,NA,17622,"P",0,"gigante2",5,157
454610,993673,"014683","","oenoma","1937",394.8,745.3,62,1.3,"2008-03-31","alive",NA,17622,"A",0.0134675170776515,"gigante2",5,157
454612,993674,"014685","5","oenoma","1937",399.8,749.7,NA,NA,NA,NA,NA,17622,"P",0,"gigante2",5,157
453845,995291,"001295","","coccpa","1938",386,772.7,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
453941,995292,"005551","","oenoma","1636",320.9,728.6,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453949,995293,"005559","","oenoma","1636",330.6,737.9,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453952,995294,"005562","","oenoma","1637",324.2,740.6,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453955,995295,"005565","","oenoma","1637",320.2,752.1,95,1.3,"2008-03-19","alive",NA,17610,"A",0.0415548359125,"gigante2",5,157
453956,995296,"005566","1","oenoma","1637",321.4,758.5,NA,NA,NA,NA,NA,17610,"P",0,"gigante2",5,157
453958,995297,"005568","","oenoma","1637",328.5,746.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453962,995298,"005572","2","oenoma","1737",354.1,741.3,NA,NA,NA,NA,NA,17618,"P",0,"gigante2",5,157
453963,995299,"005573","","coccpa","1737",354.4,745.4,65,1.3,"2008-03-27","alive","M",17618,"A",0.0171064969252158,"gigante2",5,157
453969,995300,"005579","","oenoma","1736",346.4,725.3,84,1.3,"2008-03-25","alive",NA,17616,"A",0.0299903643481071,"gigante2",5,157
454041,995301,"011201","2","oenoma","1736",340.3,734.7,NA,NA,NA,NA,NA,17616,"P",0,"gigante2",5,157
454091,995302,"011251","2","oenoma","1736",349.6,735.6,NA,NA,NA,NA,NA,17616,"P",0,"gigante2",5,157
454135,995303,"014010","","oenoma","1535",312.1,709.8,117,1.3,"2008-03-04","alive","M",17595,"A",0.0722456620468271,"gigante2",5,157
