"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","dbh","hom","ExactDate","DFstatus","codes","date","status","agb","plot","census","plotID"
453830,453404,"000039","","myrcze","1637",338.4,745.1,NA,NA,NA,NA,NA,18358,"V",0,"gigante2",6,157
453831,453405,"000040","","des2pa","1637",335.4,747.1,NA,NA,NA,NA,NA,18358,"V",0,"gigante2",6,157
453832,453406,"000063","","drypst","1938",397.7,768.1,358,1.3,"2010-04-05","alive",NA,18357,"A",1.28210091948896,"gigante2",6,157
453833,453407,"000064","","protte","1939",380.8,781,317,1.3,"2010-04-05","alive",NA,18357,"A",0.792522569608448,"gigante2",6,157
453834,453408,"000065","","tri4ga","1939",389.7,785.9,NA,NA,NA,NA,NA,18357,"D",0,"gigante2",6,157
453835,453409,"000066","","vochfe","1939",382.1,794.6,NA,NA,"2010-04-05","dead","D;S",18357,"D",0,"gigante2",6,157
453836,453410,"000067","","virosu","1939",392,788.7,540,1.3,"2010-04-05","alive",NA,18357,"A",2.51722354268098,"gigante2",6,157
453837,453411,"000068","","virosu","1939",394.1,782.6,276,1.3,"2010-04-05","alive",NA,18357,"A",0.460081804234268,"gigante2",6,157
453838,453412,"001288","","case6","1937",396,753.2,287,1.3,"2010-04-05","alive",NA,18357,"A",0.677988064712054,"gigante2",6,157
453839,453413,"001289","","sterre","1937",394.3,748.9,NA,NA,NA,NA,NA,18357,"V",0,"gigante2",6,157
453840,453414,"001290","","tet2pa","1938",388.1,761,381,1.3,"2010-04-05","alive",NA,18357,"A",1.28123797988422,"gigante2",6,157
453841,453415,"001291","","tri2tu","1938",380.8,763.9,208,1.3,"2010-04-05","alive","Q",18357,"A",0.291547490287663,"gigante2",6,157
453842,453416,"001292","","beilpe","1938",380.6,764.9,323,1.3,"2010-04-05","alive",NA,18357,"A",0.83713812598181,"gigante2",6,157
453843,453417,"001293","","copaar","1938",381.9,768.3,NA,NA,"2010-04-05","dead","D;S",18357,"D",0,"gigante2",6,157
453844,453418,"001294","","drypst","1938",383.9,768.5,217,1.3,"2010-04-05","alive",NA,18357,"A",0.350514412326202,"gigante2",6,157
453845,453419,"001295","","coccpa","1938",386,772.7,NA,NA,NA,NA,NA,18357.0689655172,"V",0,"gigante2",6,157
453846,453420,"001296","","lacmpa","1938",385.7,779.1,212,1.3,"2010-04-05","alive",NA,18357,"A",0.230308302540009,"gigante2",6,157
453847,453421,"001297","","apeime","1938",399,779.1,482,2.43,"2010-04-07","alive","B;cylN",18359,"A",1.11842433915195,"gigante2",6,157
453848,453422,"001298","","drypst","1938",399.8,775.8,344,1.3,"2010-04-05","alive",NA,18357,"A",1.1579196160644,"gigante2",6,157
453849,453423,"001299","","simaam","1938",398.4,769.4,NA,NA,NA,NA,NA,18357.0689655172,"D",0,"gigante2",6,157
453850,453424,"003004","","pse2sp","1935",380.8,704.1,253,1.3,"2010-04-05","alive",NA,18357,"A",0.523628467962313,"gigante2",6,157
453851,453425,"003005","","beilpe","1935",385.3,706.9,288,1.3,"2010-04-05","alive",NA,18357,"A",0.622844053323025,"gigante2",6,157
453852,453426,"003006","","alsebl","1935",382.8,709.9,240,1.3,"2010-04-05","alive",NA,18357,"A",0.362338236183709,"gigante2",6,157
453853,453427,"003007","","beilpe","1935",384.7,716.3,424,1.9,"2010-04-05","alive",NA,18357,"A",1.6722834797906,"gigante2",6,157
